"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"42","Onychogomphus","Onychogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Onychogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"43","Stylurus","Stylurus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Stylurus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"44","Arigomphus","Arigomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Arigomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"45","Leptogomphus","Leptogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Leptogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"46","Microgomphus","Microgomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Microgomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"47","Heliogomphus","Heliogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Heliogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"48","Synthemistidae","Synthemistidae sensu","family","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"49","Choristhemis","Choristhemis","genus","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae","Choristhemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"50","Archaeosynthemis","Archaeosynthemis","genus","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae","Archaeosynthemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"51","Archaeophya","Archaeophya","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Archaeophya",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"52","Gomphomacromia","Gomphomacromia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Gomphomacromia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
