"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"425","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Neminidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Neminidae"
"426","Hexapoda: Diptera","Brachycera: Muscomorpha","Nerioidea","Neriidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Neriidae"
"427","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Neurochaetidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Neurochaetidae"
"428","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Nothybidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Nothybidae"
"429","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Odiniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Odiniidae"
"430","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Oestridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Oestridae"
"431","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Opomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Opomyzidae"
"432","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Pallopteridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pallopteridae"
"433","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Periscelididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Periscelididae"
"434","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Phaeomyidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phaeomyidae"
